ch_name,x,y,z
S1,0.0536,0.0467999999999999,0.0594
D1,0.0644,0.0193999999999999,0.0575
S2,0.0694,-0.0107,0.0555
D2,0.0665,-0.0382999999999999,0.0518
S3,0.0605,-0.0644,0.0464
D3,0.0515,0.0387999999999999,0.0839
S4,0.0615,0.0139,0.0828
D4,0.066,-0.0135,0.0804
S5,0.064,-0.0381,0.077
D5,0.056,-0.0648,0.0744
S6,0.0404,0.0335,0.1062999999999999
D6,0.0523999999999999,0.0119,0.1064
S7,0.057,-0.015,0.1062999999999999
D7,0.0521,-0.0422,0.1021
S8,0.0417,-0.0664,0.1001
S9,-0.07,-0.0709,0.0432
D8,-0.0779,-0.0467,0.044
S10,-0.083,-0.0189,0.0489
D9,-0.0843,0.0094,0.0503
S11,-0.0752999999999999,0.0373,0.0513
D10,-0.071,-0.0722,0.0708
S12,-0.0792,-0.0496,0.072
D11,-0.0843,-0.0193999999999999,0.0765
S13,-0.083,0.0064,0.0778
D12,-0.0746,0.0306,0.0784
S14,-0.063,-0.0725,0.0995
D13,-0.0712,-0.0482,0.1025
S15,-0.079,-0.0218,0.1037
D14,-0.0762999999999999,0.0034,0.1072
S16,-0.0655,0.0263,0.1085999999999999
