ch_name,x,y,z
S1,0.054,0.0206,0.0833
D1,0.061,-0.0052,0.0770999999999999
S2,0.0631,-0.0322,0.0692
D2,0.0584,-0.0613999999999999,0.06
S3,0.0484,-0.0815999999999999,0.0482
D3,0.0472,0.013,0.1039
S4,0.0552999999999999,-0.0114,0.1011
D4,0.0574,-0.0373999999999999,0.0930999999999999
S5,0.0528,-0.0624,0.082
D5,0.0437,-0.0875,0.0716
S6,0.0341,0.0065,0.1258
D6,0.0432,-0.0178,0.1222
S7,0.0456,-0.041,0.1163
D7,0.0391,-0.0640999999999999,0.1029
S8,0.0256,-0.0882,0.0925999999999999
S9,-0.071,-0.0773,0.0466
D8,-0.0835,-0.0528,0.0576
S10,-0.0906,-0.0273999999999999,0.0674
D9,-0.0886,-0.001,0.0757
S11,-0.0783,0.0203999999999999,0.0828
D10,-0.0674,-0.0817,0.0726
S12,-0.0800999999999999,-0.0585,0.0822
D11,-0.0871,-0.0359,0.0944
S13,-0.0842,-0.0081999999999999,0.1009
D12,-0.0755,0.0167,0.1021
S14,-0.054,-0.085,0.0919
D13,-0.0691,-0.0635,0.102
S15,-0.0777,-0.0405,0.1125
D14,-0.0762999999999999,-0.0153,0.1186
S16,-0.0658,0.0068,0.1231
