ch_name,x,y,z
S1,0.0566,0.0261999999999999,0.0538
D1,0.0584,0.0008,0.0578
S2,0.0608,-0.031,0.0564
D2,0.0576,-0.0608,0.0535
S3,0.0512,-0.0862,0.0453999999999999
D3,0.0489,0.0225,0.079
S4,0.059,-0.004,0.0814
D4,0.0599,-0.0341,0.0765
S5,0.0551,-0.0616,0.0719
D5,0.0453,-0.0858,0.0684
S6,0.0426,0.0203999999999999,0.1044
D6,0.0496,-0.0083,0.1092
S7,0.0499,-0.0365,0.1062999999999999
D7,0.0416,-0.0619,0.0983
S8,0.0283999999999999,-0.0857,0.09
S9,-0.061,-0.0772,0.0442
D8,-0.069,-0.0495,0.0505
S10,-0.0737,-0.0192,0.054
D9,-0.0692,0.008,0.056
S11,-0.0593,0.0337,0.0650999999999999
D10,-0.0557,-0.0711,0.078
S12,-0.0647,-0.0472,0.0864
D11,-0.0707,-0.0196,0.0847
S13,-0.0665999999999999,0.0091,0.0852
D12,-0.0617,0.0283,0.0735
S14,-0.0482999999999999,-0.0719,0.0892999999999999
D13,-0.0562,-0.0475,0.1006
S15,-0.0627,-0.0222,0.105
D14,-0.0606,0.003,0.1044
S16,-0.0503,0.0273999999999999,0.1031
